,School,School Max Group,School Count Group
917,Dillard,1,3
919,Cocoa,1,2
920,Jackson,1,2
921,The Loomis Chaffee School,1,2
922,The Bullis School,1,1
923,Lawrence North,1,2
924,Stranahan,1,1
925,Duncanville,1,7
926,Shoemaker,1,2
928,Hewitt-Trussville,1,4
929,Cleveland,1,1
930,North Caddo,1,1
931,West Forsyth,1,1
932,Rusk,1,1
933,Christian Brothers,1,1
934,Dr. Phillips,1,2
935,South Walton,1,1
936,Malvern Prep,1,1
937,Thompson,2,6
938,Guyer,1,2
940,Lancaster,1,1
941,North Miami Beach Senior,1,1
942,St. John Bosco,1,12
943,Duncanville,1,7
944,Dickinson,2,2
945,Westfield,1,3
946,Auburn,1,4
947,Calvary Christian,1,1
948,McDonogh School,1,4
949,Central Catholic,1,4
950,Lee County,1,3
951,Carver,1,4
952,Skyline,1,1
953,F. W. Buchholz,1,2
955,Clarendon,1,1
956,Mater Dei,2,9
957,Jacksonville,1,1
958,Pike Road,1,3
959,Douglass,1,1
960,DePaul Catholic,1,2
961,Cardinal Gibbons,1,1
962,St. John Bosco,1,12
963,Southlake Carroll,1,2
964,Biloxi,1,1
965,Imhotep Institute,1,4
966,Federal Way,1,1
967,Mater Dei,2,9
968,Neumann Goretti,1,3
969,Manchester,1,1
970,Shadow Creek,1,3
971,A. Crawford Mosley,1,1
972,Springfield,1,2
973,Highland Springs,1,1
974,Pickerington Central,2,3
975,Cedar Grove,1,8
976,Whitewater,1,1
977,Lincoln,2,8
978,Milton,1,7
979,St. John Bosco,1,12
981,Harker Heights,1,2
982,Southside,1,1
983,Lehigh Senior,1,1
984,Folsom,1,2
985,Hickory,1,1
986,Hewitt-Trussville,1,4
988,Central Catholic,1,4
989,McQueen,1,1
992,Broken Arrow,1,2
994,Williamson,1,1
995,Wiregrass Ranch,1,1
996,IMG Academy,2,35
997,Laurel Highlands,3,1
998,Junipero Serra,2,4
999,St. John's,1,3
1000,Buckingham Browne & Nichols School,1,2
1001,Miami Central,2,5
1002,El Campo,1,1
1003,North,1,1
1004,Cocalico,1,1
1005,Kenston,1,1
1006,Tumwater,1,2
1007,Edna Karr,1,3
1008,Chaminade-Madonna Prep,1,4
1009,Cary,1,1
1010,Buford,2,6
1011,Anniston Sch,1,1
1012,Collins Hill,1,2
1013,Lake Gibson,2,5
1014,Reagan,1,1
1015,Lipscomb Academy,1,3
1016,Creighton Preparatory School,1,1
1018,Jefferson,1,3
1019,Thayer Academy,1,1
1020,La Salle College,1,2
1021,Lincoln,2,8
1022,North Cobb,1,7
1023,IMG Academy,2,35
1024,American Heritage,1,6
1025,American Christian Academy,1,1
1027,Creekview,1,1
1028,Evanston Township,1,1
1029,Christopher Columbus HS,1,3
1030,Louisville Male,1,4
1031,West Bloomfield,1,3
1033,McEachern,1,4
1034,Monroe,1,1
1035,Ashdown,1,1
1036,Ensworth,1,1
1037,Denmark,1,2
1038,Neumann Goretti,1,3
1039,IMG Academy,2,35
1040,Unity Reed,1,1
1041,Dunbar,1,1
1042,St. James,1,1
1043,Lompoc,1,1
1045,Faith Academy,1,1
1046,Monsignor Pace,2,1
1047,Oscar Smith,1,1
1048,Warren Easton,1,1
1050,Benicia,1,2
1051,Elk Grove,1,1
1052,Bishop Manogue,1,1
1053,St. John Bosco,1,12
1054,Liberty,1,5
1055,Pickerington Central,2,3
1056,Timpview,1,1
1057,Thompson,2,6
1058,Canal Winchester,1,1
1059,DeSoto,2,2
1060,Bergen Catholic,1,5
1061,Madison-Ridgeland Academy,1,1
1062,South Point,1,1
1063,Dexter School,1,2
1064,Raleigh,1,1
1065,McEachern,1,4
1066,Bergen Catholic,1,5
1067,Munford,1,1
1068,Johns Creek,1,3
1069,Montgomery Catholic Preparatory,1,3
1070,San Joaquin Memorial,1,2
1071,Pinson Valley,1,2
1072,Westlake,3,6
1073,Inglewood,1,4
1074,Many,1,1
1075,William Amos Hough,1,2
1076,Zeeland East,1,1
1077,Mater Dei,2,9
1078,Hudson Catholic,1,1
1079,Middletown Area,1,1
1080,Santa Fe,1,1
1081,Gordo,1,1
1082,Northwestern,2,2
1083,Davie County,1,1
1084,Temple,1,2
1085,Skyridge,1,1
1086,Burges,1,1
1087,Gaither,1,2
1088,East Robertson,1,1
1089,Green Run,1,1
1090,Center Grove,2,2
1091,St. John Bosco,1,12
1092,Chillicothe,1,1
1093,Johns Creek,1,3
1094,Little Elm,2,1
1095,Winter Park,1,2
1096,Cy Woods,1,1
1097,Langston Hughes,1,3
1098,Servite,1,4
1099,Punahou,1,1
1100,Kirby,1,1
1101,North Stafford,1,1
1102,Clearwater Academy International,1,4
1103,Ware County,1,1
1104,Alief Hastings,1,1
1105,Columbus,1,2
1106,Princeton,1,1
1107,Inglewood,1,4
1108,Central,1,4
1109,Dewitt,1,2
1110,Knoxville Catholic,1,3
1111,King,1,2
1112,Thompson,2,6
1113,Fairfax,1,1
