Height_in_Inches,Weight_in_Kg,Followers Instagram,Followers Tiktok,Followers Twitter,School Max Group,School Count Group,Hometown Max Group,Hometown Count Group
70,190,2800,471,2300,1,1,2,2
76,270,766,197,779,1,3,2,2
74,262,5200,0,0,1,3,1,1
77,240,4300,0,0,1,5,1,1
77,220,1000,0,0,1,1,1,1
75,208,3100,40,3400,1,1,1,1
77,265,1800,160,1600,1,2,1,1
78,255,1500,120,1000,1,2,1,1
74,185,5200,2,3100,1,1,1,1
79,285,414,0,0,1,1,1,1
78,290,1600,0,0,1,1,1,1
77,290,11400,173,4900,1,1,1,1
73,215,21000,0,0,2,1,2,2
74,210,18300,1300,12100,2,1,2,2
76,302,2400,0,0,1,1,1,1
74,200,3400,1200,2600,1,2,1,1
69,177,3900,0,0,2,4,1,1
76,229,1800,288,1100,1,2,2,2
76,244,1300,0,0,1,3,1,1
77,265,1500,0,0,1,1,1,1
75,207,1800,0,0,1,2,1,1
76,296,5300,84,5900,1,1,1,1
75,210,10800,233,6100,1,1,1,1
76,230,3700,0,0,1,2,1,1
74,265,1700,178,1400,1,1,1,1
77,325,1900,52,2600,1,2,1,1
75,250,10600,1100,3300,1,4,1,1
78,391,1300,0,0,1,1,1,1
76,218,12,0,0,1,1,1,1
77,260,3500,0,0,1,1,1,1
72,187,2200,0,0,1,1,1,1
72,196,3200,0,0,1,1,2,2
70,171,24000,70000,5000,2,6,2,2
76,208,1,7,1300,1,2,1,1
72,180,4300,1,1700,1,1,1,1
77,275,1100,0,0,1,1,1,1
74,260,2800,0,0,1,9,1,1
79,278,3100,0,0,1,1,1,1
70,172,11100,1,6900,1,1,1,1
73,170,2300,0,0,1,1,1,1
78,295,919,0,0,1,1,1,1
77,255,2100,0,0,1,1,1,1
77,310,5500,0,0,1,3,1,1
72,177,25000,130000,4200,2,1,2,2
76,230,2800,1,2500,1,7,1,1
76,256,2100,126,1600,2,35,1,1
76,260,4200,0,0,1,3,1,1
73,187,4000,0,0,1,2,1,1
76,245,1300,0,0,1,1,1,1
72,225,2400,0,0,1,1,1,1
71,170,3300,0,0,1,1,1,1
70,174,4100,251,729,1,1,1,1
80,342,9900,0,0,1,1,1,1
74,197,1200,0,0,1,1,1,1
74,207,2500,0,0,1,1,1,1
77,220,694,0,0,1,1,1,1
78,285,1,0,0,1,1,1,1
75,170,2800,0,0,1,2,1,1
73,195,15900,2200,5200,1,2,1,1
71,177,4200,68000,2500,1,6,1,1
76,211,13200,0,0,1,2,1,1
71,180,2700,0,0,1,1,1,1
73,180,17600,0,0,1,3,1,1
74,219,9200,6300,2600,3,6,3,3
76,211,1600,251,1400,1,1,1,1
72,180,8000,4400,3000,1,1,1,1
73,165,2800,0,0,1,1,1,1
71,175,4000,135,2500,10,2,10,10
77,235,1000,188,1500,1,2,1,1
77,173,10900,1200,6600,1,1,1,1
74,263,1300,0,0,1,1,2,2
72,185,12900,459,6000,1,1,3,3
73,180,5200,97000,1600,1,2,2,2
74,190,9400,0,0,1,5,1,1
76,388,2600,0,0,1,2,1,1
74,175,16000,0,0,1,1,1,1
74,180,8500,0,0,2,8,1,1
74,168,3800,4800,2500,1,1,1,1
70,176,1100,0,0,1,12,1,1
74,229,4600,0,0,1,9,1,1
77,225,4500,18800,3400,1,1,1,1
79,230,740,0,0,1,1,1,1
75,185,2100,2600,1200,1,2,1,1
73,190,35000,156000,5400,2,6,2,2
73,200,2100,0,0,1,1,1,1
77,283,6200,0,0,2,9,2,2
70,167,3300,0,0,1,1,1,1
76,239,811,0,0,1,2,1,1
76,216,14200,0,0,2,35,1,1
73,160,6100,0,0,1,4,2,2
73,173,15700,0,0,1,1,1,1
77,274,2100,0,0,1,6,1,1
73,197,51000,0,0,1,12,1,1
72,185,4,0,0,1,1,1,1
72,180,6500,0,0,2,8,1,1
72,175,3500,0,0,1,1,2,2
74,230,11100,0,0,1,1,1,1
77,220,2100,91,220,1,8,1,1
76,278,2000,0,0,1,1,1,1
70,195,4400,1500,3300,1,2,1,1
72,178,2600,1,4400,1,1,1,1
76,255,1700,1400,1000,1,2,1,1
74,218,3900,0,0,1,2,1,1
72,210,7700,797,5400,1,2,1,1
70,177,15500,10500,7400,1,1,2,2
77,220,3500,0,0,1,3,3,3
75,305,3800,0,0,1,4,1,1
74,205,1300,0,0,1,3,2,2
73,193,3500,0,0,1,8,1,1
76,270,2100,252,1700,1,2,1,1
77,212,2900,0,0,1,1,1,1
