,Height_in_Inches,Weight_in_Kg,Followers Instagram,Followers Tiktok,Followers Twitter,NIL Value,Legacy,School Max Group,School Count Group,Hometown Max Group,Hometown Count Group,Sport_Football,Position_C,Position_CB,Position_CG,Position_DL,Position_EDGE,Position_IOL,Position_K,Position_LB,Position_OT,Position_P,Position_PF,Position_PG,"Position_PG, SG",Position_QB,Position_RB,Position_S,Position_SF,Position_SG,Position_TE,Position_WR
43,0.385,0.8363171355498722,0.008963808558290617,0.0,0.0,0.023899092719628236,0.0,0.1111111111111111,0.9999999999999999,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
44,0.38,0.5626598465473146,0.009136222648659738,0.0002,0.030769230769230767,0.04624917017039167,0.0,0.0,0.029411764705882353,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
45,0.375,0.7544757033248083,0.0036189717568478564,0.0,0.0,0.011064394777605662,0.0,0.1111111111111111,0.0588235294117647,0.1111111111111111,0.1111111111111111,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
46,0.375,0.741687979539642,0.0024120731242640073,0.0,0.0,0.008630227926532417,0.0,0.0,0.0588235294117647,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
47,0.38,0.4603580562659847,0.0,4.285714285714286e-06,0.07692307692307691,0.03230803275060854,0.0,0.0,0.029411764705882353,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
48,0.385,0.5780051150895141,0.0024120731242640073,6.214285714285714e-05,0.04615384615384615,0.024562956406284572,0.0,0.0,0.029411764705882353,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
49,0.375,0.4424552429667519,0.025343147143357145,0.0007857142857142857,0.1282051282051282,0.07059083868112415,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
50,0.385,0.823529411764706,0.006894839473861161,0.0,0.0,0.017924319539721175,0.0,0.0,0.23529411764705882,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
51,0.355,0.46547314578005117,0.0024120731242640073,0.0,0.0,0.03098030537729586,0.0,0.0,0.1764705882352941,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
53,0.39,0.813299232736573,0.0032741435761096138,7.285714285714286e-05,0.0846153846153846,0.017481743748616947,0.0,0.0,0.029411764705882353,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
